driver_id,ts,lat,lon,speed_kph,accel_mps2,brake_mps2,heading_deg,odometer_km,phone_use,road_type,weather_code
D_000,2025-10-04T02:11:56.713832Z,42.947928,-78.838884,91.55,1.62,0.56,28.1,14772.57,0,highway,RAN
D_021,2025-10-04T00:43:56.713832Z,42.935736,-78.772483,69.87,1.43,-2.07,188.8,28758.54,0,highway,RAN
D_035,2025-10-04T00:56:56.713832Z,42.960205,-78.737362,105.03,1.05,1.49,180.3,5412.24,0,highway,CLR
D_041,2025-10-03T23:46:56.713832Z,42.955539,-78.955592,51.69,-1.85,1.58,341.9,4469.35,0,city,RAN
D_049,2025-10-04T02:58:56.713832Z,42.945295,-78.749499,76.97,-1.86,-0.87,271.1,40414.82,0,highway,CLR
D_086,2025-10-03T23:25:56.713832Z,42.995477,-78.648357,29.76,-0.54,-0.19,110.4,15493.66,0,city,RAN
D_006,2025-10-03T23:04:56.713832Z,43.008855,-78.831549,99.01,2.54,2.51,53.7,46522.95,1,highway,CLR
D_061,2025-10-04T01:12:56.713832Z,42.995847,-78.821064,72.08,3.7,0.69,350.9,23028.63,0,rural,RAN
D_034,2025-10-03T22:32:56.713832Z,42.943258,-78.856395,41.3,-1.21,1.58,35.9,17688.01,0,city,CLR
D_048,2025-10-04T00:06:56.713832Z,42.881236,-78.808493,63.68,-1.36,-2.09,28.1,8574.84,0,rural,CLR
D_043,2025-10-04T00:12:56.713832Z,42.969974,-78.717688,98.64,-1.91,-2.19,277.6,6902.9,0,highway,CLR
D_041,2025-10-03T23:21:56.713832Z,42.935294,-78.946522,36.33,-1.12,-2.49,167.8,4445.61,0,city,RAN
D_054,2025-10-04T01:37:56.713832Z,42.932232,-78.997057,44.53,1.02,-2.5,134.3,3438.88,0,city,RAN
D_075,2025-10-03T23:51:56.713832Z,43.04885,-78.869936,46.24,2.46,-0.48,86.7,45224.29,0,city,RAN
D_087,2025-10-03T23:09:56.713832Z,42.925759,-78.736816,71.79,0.74,2.19,278.5,33540.31,0,rural,CLR
D_026,2025-10-03T23:57:56.713832Z,42.959511,-78.891639,29.78,-1.29,-2.43,238.9,16272.73,0,city,SNW
D_048,2025-10-04T00:36:56.713832Z,42.858711,-78.756462,98.57,1.39,1.66,96.3,8611.25,0,highway,RAN
D_027,2025-10-04T00:53:56.713832Z,43.008996,-78.553923,91.78,1.25,0.29,198.8,43535.81,0,highway,RAN
D_011,2025-10-04T02:47:56.713832Z,42.828238,-78.920567,109.4,2.96,-0.47,317.3,31580.32,0,highway,RAN
D_043,2025-10-03T22:01:56.713832Z,42.946037,-78.806002,57.45,-2.59,-3.89,319.9,6765.25,0,city,RAN
D_013,2025-10-04T01:17:56.713832Z,42.795958,-78.776752,70.13,-2.14,-1.57,118.0,39919.08,0,rural,CLR
D_005,2025-10-03T23:37:56.713832Z,43.069591,-78.753959,91.19,2.01,-1.54,206.6,44557.86,0,highway,CLR
D_008,2025-10-03T23:16:56.713832Z,42.942621,-79.025334,108.14,-1.8,-0.91,52.9,28557.47,0,highway,SNW
D_061,2025-10-04T01:28:56.713832Z,43.010772,-78.840145,33.7,4.03,1.26,295.7,23044.03,0,city,RAN
D_023,2025-10-04T01:04:56.713832Z,43.039111,-78.917046,47.3,1.08,2.42,158.0,20402.02,0,city,CLR
D_042,2025-10-04T00:46:56.713832Z,43.008151,-78.740932,21.05,-1.58,-1.57,144.4,32887.71,1,city,CLR
D_060,2025-10-04T01:52:56.713832Z,43.058649,-78.850891,42.96,-1.65,-1.41,335.6,4167.9,0,city,CLR
D_046,2025-10-04T03:21:56.713832Z,43.034907,-78.528057,89.38,1.51,0.12,91.9,42657.29,0,highway,CLR
D_011,2025-10-04T03:20:56.713832Z,42.818229,-78.969323,100.3,-0.06,-0.44,53.7,31613.31,0,highway,CLR
D_052,2025-10-03T23:04:56.713832Z,42.932481,-78.8013,71.9,-1.03,3.03,118.1,17127.3,0,rural,CLR
D_061,2025-10-03T22:33:56.713832Z,42.962598,-78.885898,47.39,-0.46,-1.31,318.3,22859.75,0,city,RAN
D_014,2025-10-04T01:08:56.713832Z,42.865578,-78.879187,73.3,0.65,-1.39,127.9,9895.17,0,highway,CLR
D_036,2025-10-04T00:37:56.713832Z,42.960276,-78.932294,94.49,-0.12,0.84,183.7,36364.83,0,highway,RAN
D_039,2025-10-03T21:41:56.713832Z,42.952199,-78.818368,33.36,-0.01,-0.45,291.1,49519.53,0,city,CLR
D_066,2025-10-03T22:59:56.713832Z,42.878439,-78.877694,102.41,-3.06,2.5,163.6,24250.44,0,highway,RAN
D_045,2025-10-04T02:52:56.713832Z,42.802036,-78.847822,36.71,-0.09,-0.68,316.1,45547.01,1,city,CLR
D_047,2025-10-04T01:41:56.713832Z,43.053493,-78.751139,51.3,1.35,-0.9,253.1,9405.64,0,city,CLR
D_023,2025-10-04T01:00:56.713832Z,43.068175,-78.900154,90.66,-1.52,-2.38,100.8,20397.11,0,highway,CLR
