driver_id,ts,lat,lon,speed_kph,accel_mps2,brake_mps2,heading_deg,odometer_km,phone_use,road_type,weather_code,hard_brake
D_043,2025-10-04T18:42:02.017013+00:00,42.95684,-78.683066,93.78,0.22,1.43,217.1,6929.45,0,highway,RAN,0
D_085,2025-10-04T16:25:02.017013+00:00,42.946337,-78.765354,48.84,-1.39,-0.66,296.2,5877.69,0,city,CLR,0
D_021,2025-10-04T18:56:02.017013+00:00,42.908533,-78.781532,98.99,0.12,-3.35,255.0,28768.43,0,highway,RAN,0
D_096,2025-10-04T17:43:02.017013+00:00,42.896052,-78.744424,86.41,1.2,-1.53,305.8,23152.57,0,highway,CLR,0
D_038,2025-10-04T18:05:02.017013+00:00,43.074547,-78.894687,56.65,-2.1,0.53,6.3,3283.5,0,city,RAN,0
D_038,2025-10-04T19:58:02.017013+00:00,43.015848,-78.897453,43.17,0.63,-2.25,269.2,3408.18,0,city,RAN,0
D_004,2025-10-04T18:21:02.017013+00:00,42.969667,-78.907953,57.7,0.26,0.44,305.9,41170.37,0,rural,CLR,0
D_089,2025-10-04T19:50:02.017013+00:00,42.685448,-78.860195,65.51,-0.15,-3.37,265.2,37309.17,0,rural,RAN,0
D_008,2025-10-04T17:59:02.017013+00:00,42.966636,-79.07801,56.81,0.49,-2.92,64.2,28598.69,0,city,CLR,0
D_007,2025-10-04T17:49:02.017013+00:00,43.016267,-78.923414,37.32,1.81,1.15,209.3,36282.13,0,city,CLR,0
D_014,2025-10-04T21:06:02.017013+00:00,42.818606,-78.758133,96.41,0.81,1.4,226.9,10014.51,0,highway,CLR,0
D_085,2025-10-04T21:23:02.017013+00:00,43.062227,-78.689002,83.03,-0.01,-1.34,106.1,6190.28,0,rural,CLR,0
D_013,2025-10-04T17:05:02.017013+00:00,42.863144,-78.839505,49.22,-1.84,-4.19,170.3,39778.78,0,rural,CLR,0
D_095,2025-10-04T21:41:02.017013+00:00,42.699372,-78.670641,45.07,-0.07,0.16,97.3,30869.74,0,city,CLR,0
D_028,2025-10-04T18:16:02.017013+00:00,42.981473,-78.632875,24.25,-0.86,-2.55,317.2,11785.42,0,city,RAN,0
D_023,2025-10-04T20:17:02.017013+00:00,42.996753,-78.957484,33.99,1.72,-3.94,342.1,20475.9,0,city,CLR,0
D_044,2025-10-04T20:11:02.017013+00:00,43.121387,-79.015171,71.26,-1.47,-0.45,157.8,31632.78,0,rural,CLR,0
D_084,2025-10-04T20:03:02.017013+00:00,42.920196,-79.008083,39.73,-3.64,2.17,202.6,28443.05,0,city,RAN,0
D_029,2025-10-04T18:51:02.017013+00:00,42.957719,-78.91002,103.18,-2.22,-0.23,26.9,44643.3,0,highway,RAN,0
D_033,2025-10-04T17:14:02.017013+00:00,42.896214,-79.031215,29.45,-0.13,-2.13,341.1,27559.95,0,city,CLR,0
D_028,2025-10-04T19:25:02.017013+00:00,42.942623,-78.580111,32.04,-1.02,-0.11,132.7,11861.2,0,city,CLR,0
D_081,2025-10-04T17:23:02.017013+00:00,42.95905,-78.728221,93.31,2.17,1.05,291.5,47276.11,0,highway,CLR,0
D_037,2025-10-04T18:16:02.017013+00:00,43.005789,-79.248753,30.18,-0.79,2.25,194.4,3623.17,0,city,CLR,0
D_016,2025-10-04T17:47:02.017013+00:00,43.00907,-78.958651,69.84,1.37,1.44,220.0,19727.87,0,highway,CLR,0
D_086,2025-10-04T16:39:02.017013+00:00,42.987999,-78.723703,77.29,1.44,-1.99,142.3,15437.04,0,rural,CLR,0
D_035,2025-10-04T18:35:02.017013+00:00,42.975184,-78.758514,96.73,0.83,1.89,255.5,5381.8,0,highway,CLR,0
D_038,2025-10-04T20:20:02.017013+00:00,43.009577,-78.965547,95.59,0.86,3.53,66.7,3431.68,0,highway,CLR,0
D_091,2025-10-04T19:36:02.017013+00:00,43.060099,-78.93412,54.46,-0.25,-1.19,14.6,43583.16,0,city,CLR,0
D_077,2025-10-04T19:03:02.017013+00:00,42.757558,-78.899161,40.88,0.47,-2.29,245.1,5753.3,0,city,CLR,0
D_043,2025-10-04T17:57:02.017013+00:00,42.938349,-78.758034,104.87,-0.33,-0.7,243.6,6885.05,0,highway,RAN,0
D_011,2025-10-04T17:02:02.017013+00:00,42.978507,-78.909335,48.96,-0.59,0.56,158.9,31338.8,0,city,CLR,0
D_081,2025-10-04T21:21:02.017013+00:00,42.883658,-78.645385,97.79,2.66,5.23,299.2,47519.8,0,highway,CLR,0
D_042,2025-10-04T18:41:02.017013+00:00,43.023534,-78.755162,32.69,2.2,2.54,18.2,32879.0,0,city,CLR,0
D_007,2025-10-04T18:41:02.017013+00:00,42.892046,-78.891882,106.34,-0.79,-0.11,236.4,36346.6,0,highway,CLR,0
D_000,2025-10-04T18:09:02.017013+00:00,43.003655,-78.784564,112.42,0.55,-0.36,24.7,14629.87,0,highway,CLR,0
D_001,2025-10-04T20:52:02.017013+00:00,43.033114,-78.705255,34.6,0.42,-1.97,32.3,12011.99,0,city,CLR,0
D_033,2025-10-04T19:25:02.017013+00:00,42.794849,-79.142883,14.34,1.86,-1.83,309.8,27687.42,0,city,CLR,0
D_029,2025-10-04T19:24:02.017013+00:00,42.962711,-78.999186,23.83,4.19,-1.94,52.7,44675.5,0,city,CLR,0
D_040,2025-10-04T21:39:02.017013+00:00,42.993541,-78.905462,21.35,1.2,-0.83,291.5,12774.87,0,city,SNW,0
D_049,2025-10-04T19:29:02.017013+00:00,42.888073,-78.704795,52.86,0.59,0.15,44.8,40315.84,0,city,RAN,0
D_098,2025-10-04T16:06:02.017013+00:00,42.940264,-78.823486,97.14,1.22,0.94,145.3,4051.17,0,highway,CLR,0
D_069,2025-10-04T20:27:02.017013+00:00,42.949668,-79.006848,52.35,-0.05,0.71,132.0,20100.23,0,rural,RAN,0
D_028,2025-10-04T21:08:02.017013+00:00,43.062176,-78.673133,20.66,-0.81,-1.57,218.8,11966.11,0,city,CLR,0
D_037,2025-10-04T17:01:02.017013+00:00,43.016628,-79.170682,52.49,1.34,-0.49,18.5,3550.99,0,city,CLR,0
D_025,2025-10-04T18:34:02.017013+00:00,42.988194,-79.022996,31.66,-1.08,-1.91,264.5,5917.48,0,city,RAN,0
D_050,2025-10-04T18:06:02.017013+00:00,43.018348,-78.590545,101.56,1.77,-2.37,14.1,10439.32,0,highway,CLR,0
D_031,2025-10-04T21:29:02.017013+00:00,43.049974,-78.996281,102.74,-2.55,2.33,181.8,40664.87,0,highway,CLR,0
D_072,2025-10-04T16:38:02.017013+00:00,43.024071,-78.726071,29.6,1.93,4.31,16.4,30394.88,0,city,RAN,0
D_062,2025-10-04T17:33:02.017013+00:00,43.010373,-78.889503,77.77,1.84,1.24,89.5,42575.55,1,highway,CLR,0
D_021,2025-10-04T18:43:02.017013+00:00,42.964424,-78.743474,105.27,0.64,-1.85,148.9,28753.76,0,highway,CLR,0
D_049,2025-10-04T17:26:02.017013+00:00,42.884555,-78.818036,51.99,2.6,1.81,159.7,40183.77,0,rural,CLR,0
D_095,2025-10-04T17:31:02.017013+00:00,42.886189,-78.87061,94.99,-0.35,0.45,244.1,30605.48,0,highway,CLR,0
D_093,2025-10-04T21:27:02.017013+00:00,43.06411,-78.692372,85.75,-0.12,-3.46,329.5,24601.33,0,highway,SNW,0
D_093,2025-10-04T16:41:02.017013+00:00,42.944098,-78.86732,44.13,-1.34,-0.63,171.0,24296.57,0,city,CLR,0
D_024,2025-10-04T21:41:02.017013+00:00,42.885778,-78.525728,39.78,-1.02,-1.04,112.7,20413.33,0,city,RAN,0
D_051,2025-10-04T18:54:02.017013+00:00,42.916691,-78.57595,86.69,1.89,-0.75,273.6,10161.14,0,highway,CLR,0
D_038,2025-10-04T16:52:02.017013+00:00,42.931996,-78.828228,43.59,0.02,-1.69,211.5,3204.08,0,city,CLR,0
D_052,2025-10-04T17:50:02.017013+00:00,42.867543,-78.933862,85.43,0.8,-1.87,226.2,17168.35,0,highway,CLR,0
D_048,2025-10-04T18:32:02.017013+00:00,42.851428,-78.774189,87.28,-1.12,-1.18,186.4,8600.8,0,highway,CLR,0
D_014,2025-10-04T17:02:02.017013+00:00,42.910054,-78.791492,102.0,1.86,-0.41,218.7,9761.95,0,highway,CLR,0
D_088,2025-10-04T16:33:02.017013+00:00,43.038428,-78.744965,99.64,0.82,-0.89,116.0,15619.11,0,highway,CLR,0
D_013,2025-10-04T21:04:02.017013+00:00,42.650077,-78.709683,97.44,0.06,-1.68,88.9,40026.88,0,highway,CLR,0
D_095,2025-10-04T18:36:02.017013+00:00,42.780733,-78.783889,91.21,-0.26,-2.73,225.0,30677.18,0,highway,CLR,0
D_041,2025-10-04T17:12:02.017013+00:00,42.983241,-78.90119,53.27,-0.26,2.46,155.9,4429.98,0,city,CLR,0
D_025,2025-10-04T19:38:02.017013+00:00,43.065425,-78.999588,72.25,0.3,-1.42,344.7,5978.53,0,rural,CLR,0
D_017,2025-10-04T21:14:02.017013+00:00,42.939915,-78.751025,40.76,0.05,1.12,66.8,44256.68,0,city,CLR,0
D_020,2025-10-04T21:23:02.017013+00:00,42.980718,-78.954098,40.79,-2.47,-2.27,235.3,5871.46,0,city,CLR,0
D_088,2025-10-04T19:52:02.017013+00:00,43.014937,-79.103353,62.06,-0.25,-1.4,354.4,15830.08,0,rural,RAN,0
D_018,2025-10-04T18:49:02.017013+00:00,42.952586,-78.944893,62.94,-0.21,-0.22,60.3,16804.67,0,rural,CLR,0
D_029,2025-10-04T20:22:02.017013+00:00,42.910311,-78.985575,101.53,-1.81,-0.9,197.9,44734.66,0,highway,CLR,0
D_000,2025-10-04T21:08:02.017013+00:00,42.965977,-78.753941,52.1,2.78,-4.16,115.4,14829.62,0,city,RAN,0
D_026,2025-10-04T20:49:02.017013+00:00,42.918507,-78.750788,30.57,-0.78,0.85,52.6,16452.7,0,city,CLR,0
D_038,2025-10-04T19:43:02.017013+00:00,43.010923,-78.903247,39.88,-0.16,-1.24,2.2,3394.05,0,city,RAN,0
D_011,2025-10-04T20:22:02.017013+00:00,42.787964,-78.937366,50.81,-1.88,-0.53,142.2,31549.09,0,city,RAN,0
D_053,2025-10-04T18:21:02.017013+00:00,42.961056,-79.014877,48.42,0.29,-1.0,262.7,26739.57,0,city,SNW,0
D_011,2025-10-04T20:55:02.017013+00:00,42.818468,-78.91699,52.18,1.58,-0.68,286.6,31583.16,0,city,CLR,0
D_047,2025-10-04T18:51:02.017013+00:00,42.992953,-78.705911,37.65,1.09,2.13,346.9,9342.12,0,city,CLR,0
D_080,2025-10-04T16:42:02.017013+00:00,42.892294,-78.710529,100.29,-1.03,-1.73,160.6,9907.4,0,highway,CLR,0
D_032,2025-10-04T16:47:02.017013+00:00,43.050416,-78.850591,66.97,-0.03,-1.6,35.4,31008.3,0,rural,CLR,0
D_086,2025-10-04T16:02:02.017013+00:00,42.984426,-78.821772,52.04,1.67,-0.84,133.3,15391.51,0,city,CLR,0
D_015,2025-10-04T17:00:02.017013+00:00,43.037635,-78.833775,114.49,-0.53,-0.08,245.8,37718.22,0,highway,CLR,0
D_077,2025-10-04T21:00:02.017013+00:00,42.84718,-78.996072,84.34,-0.57,-0.53,288.0,5877.27,0,highway,CLR,0
D_021,2025-10-04T17:11:02.017013+00:00,42.936603,-78.768989,46.98,1.32,-2.7,67.3,28654.79,0,city,RAN,0
D_072,2025-10-04T16:25:02.017013+00:00,43.055265,-78.783498,105.91,-1.31,0.82,14.8,30379.58,0,highway,CLR,0
D_068,2025-10-04T16:56:02.017013+00:00,42.932685,-78.834078,96.83,-1.11,-0.09,250.7,3674.41,0,highway,CLR,0
D_064,2025-10-04T16:15:02.017013+00:00,43.006292,-78.879021,85.19,0.6,1.57,331.1,8833.85,0,rural,RAN,0
D_054,2025-10-04T20:29:02.017013+00:00,42.859329,-78.999722,68.65,0.18,-1.75,235.1,3492.31,0,highway,RAN,0
D_063,2025-10-04T18:41:02.017013+00:00,42.924474,-79.092972,107.72,0.94,-4.82,337.3,19486.56,0,highway,CLR,0
D_015,2025-10-04T16:13:02.017013+00:00,42.988267,-78.761441,48.6,-0.73,-1.97,289.9,37668.27,0,rural,RAN,0
D_004,2025-10-04T17:45:02.017013+00:00,42.931035,-78.856593,66.78,-3.01,-2.28,343.4,41129.76,0,rural,RAN,0
D_078,2025-10-04T18:54:02.017013+00:00,43.096618,-78.79498,56.85,2.35,-0.14,80.8,2370.9,0,city,CLR,0
D_008,2025-10-04T19:23:02.017013+00:00,43.011212,-79.13009,93.41,1.0,0.3,328.4,28689.95,0,highway,CLR,0
D_079,2025-10-04T17:13:02.017013+00:00,42.978179,-78.733525,69.15,0.08,-0.56,26.3,29700.93,0,rural,CLR,0
D_045,2025-10-04T19:31:02.017013+00:00,42.792658,-78.875013,34.58,-1.44,-0.77,253.8,45455.98,0,city,CLR,0
D_063,2025-10-04T18:44:02.017013+00:00,42.955003,-79.090375,102.04,-2.54,-0.08,43.0,19490.61,0,highway,CLR,0
D_052,2025-10-04T16:40:02.017013+00:00,42.975033,-78.776546,98.88,-2.51,2.39,307.0,17100.5,0,highway,CLR,0
D_011,2025-10-04T18:59:02.017013+00:00,42.79309,-78.935267,103.25,-0.49,-1.06,249.5,31461.14,0,highway,CLR,0
D_060,2025-10-04T17:03:02.017013+00:00,42.976937,-78.930059,88.91,0.79,0.58,335.1,3986.42,0,highway,CLR,0
D_031,2025-10-04T21:36:02.017013+00:00,43.043477,-79.005076,43.99,-1.25,-1.62,71.7,40672.56,0,city,CLR,0
D_067,2025-10-04T17:19:02.017013+00:00,42.978365,-78.949399,58.01,-0.39,-0.52,19.1,45172.88,0,city,RAN,0
D_098,2025-10-04T18:25:02.017013+00:00,43.082763,-78.853662,37.34,0.18,-2.51,119.9,4198.01,0,city,CLR,0
D_081,2025-10-04T17:44:02.017013+00:00,42.962856,-78.708065,52.83,0.23,0.14,330.1,47296.88,0,rural,CLR,0
D_052,2025-10-04T20:15:02.017013+00:00,42.926641,-78.792689,92.68,1.6,1.15,119.3,17320.34,0,highway,CLR,0
D_073,2025-10-04T18:31:02.017013+00:00,42.983992,-78.718253,43.96,-1.28,-0.57,300.1,45801.48,0,city,RAN,0
D_075,2025-10-04T18:55:02.017013+00:00,43.106197,-78.937611,92.36,2.55,-0.09,320.3,45292.41,0,highway,CLR,0
D_053,2025-10-04T18:55:02.017013+00:00,42.987419,-79.059503,38.9,2.13,1.56,82.2,26773.47,0,city,CLR,0
D_067,2025-10-04T18:24:02.017013+00:00,42.915413,-78.924849,23.26,0.6,-0.47,288.8,45241.63,0,city,RAN,0
D_014,2025-10-04T20:30:02.017013+00:00,42.836089,-78.788506,94.47,-0.64,-0.21,110.5,9974.41,0,highway,CLR,0
D_072,2025-10-04T15:55:02.017013+00:00,43.003957,-78.794967,34.29,-0.11,-2.41,331.5,30345.81,0,city,CLR,0
D_065,2025-10-04T17:55:02.017013+00:00,43.100322,-78.849427,95.14,1.35,0.18,163.9,30120.02,0,highway,SNW,0
D_087,2025-10-04T16:26:02.017013+00:00,42.953304,-78.782633,85.77,0.53,-4.78,131.6,33490.42,0,highway,CLR,0
D_075,2025-10-04T18:08:02.017013+00:00,43.103706,-78.863389,94.05,0.82,0.46,241.2,45238.34,0,highway,RAN,0
D_090,2025-10-04T20:55:02.017013+00:00,42.878033,-78.978413,43.87,-1.44,0.34,155.6,31355.46,0,city,CLR,0
D_057,2025-10-04T20:25:02.017013+00:00,42.677535,-79.006787,97.02,0.6,1.75,158.8,11783.64,0,highway,CLR,0
D_089,2025-10-04T20:53:02.017013+00:00,42.696424,-78.860209,110.17,-0.88,0.59,35.0,37370.39,0,highway,CLR,0
D_041,2025-10-04T16:45:02.017013+00:00,42.998581,-78.910926,98.26,0.17,0.15,293.5,4400.27,0,highway,CLR,0
D_096,2025-10-04T17:40:02.017013+00:00,42.879833,-78.707732,38.16,-0.03,-1.35,250.8,23148.61,0,city,CLR,0
D_005,2025-10-04T19:02:02.017013+00:00,43.051469,-78.638791,88.45,-1.3,0.65,53.3,44640.6,0,highway,SNW,0
D_086,2025-10-04T17:35:02.017013+00:00,42.972721,-78.659996,55.63,0.78,0.1,198.7,15497.88,0,city,CLR,0
D_063,2025-10-04T16:58:02.017013+00:00,42.980491,-78.894509,90.63,0.46,-0.48,352.4,19371.98,0,highway,CLR,0
D_052,2025-10-04T19:03:02.017013+00:00,42.827397,-78.786126,96.58,-0.69,-1.38,352.2,17246.19,0,highway,CLR,0
D_031,2025-10-04T20:41:02.017013+00:00,42.998737,-78.951793,40.92,1.76,-3.99,215.0,40615.41,0,city,RAN,0
D_009,2025-10-04T17:39:02.017013+00:00,42.867006,-78.944704,100.86,-0.27,-0.28,29.9,8549.44,0,highway,CLR,0
D_028,2025-10-04T15:45:02.017013+00:00,42.951299,-78.825851,48.24,0.12,0.04,213.3,11633.64,0,city,CLR,0
D_071,2025-10-04T18:08:02.017013+00:00,42.773557,-78.849944,101.61,-1.69,-0.46,187.1,11444.53,0,highway,RAN,0
D_043,2025-10-04T17:45:02.017013+00:00,42.926687,-78.733935,43.54,1.48,-1.27,169.0,6870.91,0,city,CLR,0
D_023,2025-10-04T19:06:02.017013+00:00,43.065386,-78.910161,52.22,-0.17,1.55,249.3,20397.98,0,rural,RAN,0
D_068,2025-10-04T16:32:02.017013+00:00,42.999504,-78.82232,79.96,-0.88,-0.44,19.1,3646.59,0,highway,RAN,0
